m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,60.0,0.0,246.22,0.1,0.054103920416606936,0.0,158.22817982811506,0.15028753252652163,success,
125.2,60.0,0.0,246.22,0.1,0.23260249443332917,0.0,158.2944946766578,0.15015994528783622,success,
125.2,60.0,0.0,246.22,0.1,1.0,0.0,158.46151327395262,0.14992492596414914,success,
125.2,10.0,0.0,246.22,1e-05,2.091885001364192e-05,0.0,158.85108189068714,0.15091480799181506,success,
125.2,10.0,0.0,246.22,1e-05,0.00018048048312720023,0.0,158.8510819190897,0.15089905493981517,success,
125.2,10.0,0.0,246.22,1e-05,0.001557122153874879,0.0,158.8510821350665,0.15096264589737066,success,
125.2,10.0,0.0,246.22,1e-05,0.013434302480114128,0.0,158.85108395084092,0.1509295600260043,success,
125.2,10.0,0.0,246.22,1e-05,0.11590643847566937,0.0,158.8510924277987,0.15088968077049997,success,
125.2,10.0,0.0,246.22,1e-05,1.0,0.0,158.8511178439078,0.1509085792767094,success,
125.2,10.0,0.0,246.22,0.0001,1.9789672048391434e-05,0.0,158.85039866334606,0.15093206023133163,success,
125.2,10.0,0.0,246.22,0.0001,0.00017264375675617993,0.0,158.85039890246344,0.15094673303116177,success,
125.2,10.0,0.0,246.22,0.0001,0.001506132424731602,0.0,158.85040101175844,0.15092873103065382,success,
125.2,10.0,0.0,246.22,0.0001,0.013139397123010613,0.0,158.85041893845806,0.1508940585283056,success,
125.2,10.0,0.0,246.22,0.0001,0.11462720934843793,0.0,158.85050355954468,0.15092355740944563,success,
125.2,10.0,0.0,246.22,0.0001,1.0,0.0,158.85075867627853,0.15092060770997212,success,
125.2,10.0,0.0,246.22,0.001,1.0220894090440446e-05,0.0,158.84351297565482,0.15093311700245943,success,
125.2,10.0,0.0,246.22,0.001,0.00010176328326510898,0.0,158.8435146506462,0.15091933965736745,success,
125.2,10.0,0.0,246.22,0.001,0.0010131956880935229,0.0,158.84352981052848,0.15090864016403727,success,
125.2,10.0,0.0,246.22,0.001,0.010087778906434716,0.0,158.84367363385812,0.15073302020047455,success,
125.2,10.0,0.0,246.22,0.001,0.10043793559425002,0.0,158.84450994838122,0.1510066829296625,success,
125.2,10.0,0.0,246.22,0.001,1.0,0.0,158.8471656574962,0.15109996360441438,success,
125.2,10.0,0.0,246.22,0.01,8.683328396631956e-05,0.0,,,meta_stable,
125.2,10.0,0.0,246.22,0.01,0.0005635714457983743,0.0,137.8851674461911,0.24228420970692222,success,
125.2,10.0,0.0,246.22,0.01,0.00365773076879672,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,10.0,0.0,246.22,0.01,0.023739659765851177,0.0,152.83482952341865,0.16654967846955487,success,
125.2,10.0,0.0,246.22,0.01,0.15407679827232645,0.0,153.11704297158246,0.16584173483512313,success,
125.2,10.0,0.0,246.22,0.01,1.0,0.0,153.14010426937156,0.1656711380444251,success,
125.2,10.0,0.0,246.22,0.1,0.01808297412826401,0.0,,,meta_stable,
125.2,10.0,0.0,246.22,0.1,0.04034743111125706,0.0,119.43100339448746,0.2795446706003318,success,
125.2,10.0,0.0,246.22,0.1,0.0900247484584504,0.0,140.2404634212933,0.1907126040524886,success,
125.2,10.0,0.0,246.22,0.1,0.20086669985653935,0.0,148.29488113985792,0.17403535230309164,success,
125.2,10.0,0.0,246.22,0.1,0.44818154787601344,0.0,151.65762023050823,0.16817471736209363,success,
125.2,10.0,0.0,246.22,0.1,1.0,0.0,153.01995210042293,0.1655091618328209,success,
125.2,20.0,0.0,246.22,1e-05,0.00033622979611338166,0.0,158.8510870898449,0.1509394739449678,success,
125.2,20.0,0.0,246.22,1e-05,0.001664596425846274,0.0,158.8510872063151,0.1509308839498646,success,
125.2,20.0,0.0,246.22,1e-05,0.008241034236019375,0.0,158.8510877637493,0.15091055954937543,success,
125.2,20.0,0.0,246.22,1e-05,0.04079946599952354,0.0,158.85109018505992,0.1509672456245838,success,
125.2,20.0,0.0,246.22,1e-05,0.20198877691476708,0.0,158.8510983684179,0.15085133747117932,success,
